date,temperature,humidity,luminosity
2023-12-07 15:58:26.511,20.6,39.3,226
2023-12-07 15:58:25.504,20.6,39.3,226
2023-12-07 15:58:24.500,20.6,39.3,223
2023-12-07 15:58:23.493,20.6,39.3,225
2023-12-07 15:58:22.489,20.6,39.3,225
2023-12-07 15:58:21.481,20.6,39.3,225
2023-12-07 15:58:20.482,20.6,39.3,225
2023-12-07 15:58:19.470,20.6,39.3,225
2023-12-07 15:58:18.470,20.6,39.3,225
2023-12-07 15:58:17.459,20.6,39.3,223
2023-12-07 15:58:16.459,20.6,39.3,223
2023-12-07 15:58:15.447,20.6,39.2,223
2023-12-07 15:58:14.447,20.6,39.2,225
2023-12-07 15:58:13.440,20.6,39.2,225
2023-12-07 15:58:12.437,20.6,39.2,223
2023-12-07 15:58:11.428,20.6,39.2,225
2023-12-07 15:58:10.425,20.6,39.2,225
2023-12-07 15:58:09.417,20.6,39.2,225
2023-12-07 15:58:08.414,20.6,39.2,223
2023-12-07 15:58:07.406,20.6,39.2,225
2023-12-07 15:58:06.402,20.6,39.2,225
2023-12-07 15:58:05.395,20.6,39.2,223
2023-12-07 15:58:04.391,20.6,39.2,222
2023-12-07 15:58:03.383,20.6,39.2,226
2023-12-07 15:58:02.380,20.6,39.2,226
2023-12-07 15:58:01.372,20.6,39.2,223
2023-12-07 15:58:00.368,20.6,39.2,223
2023-12-07 15:57:59.360,20.6,39.2,225
2023-12-07 15:57:58.357,20.6,39.2,222
2023-12-07 15:57:57.349,20.6,39.2,223
2023-12-07 15:57:56.346,20.6,39.2,223
2023-12-07 15:57:55.338,20.5,39.2,223
2023-12-07 15:57:54.339,20.5,39.2,223
2023-12-07 15:57:53.327,20.6,39.2,223
2023-12-07 15:57:52.327,20.6,39.2,225
2023-12-07 15:57:51.316,20.5,39.2,223
2023-12-07 15:57:50.316,20.5,39.2,223
2023-12-07 15:57:49.304,20.6,39.2,223
2023-12-07 15:57:48.305,20.6,39.2,225
2023-12-07 15:57:47.297,20.5,39.1,222
2023-12-07 15:57:46.294,20.5,39.1,223
2023-12-07 15:57:45.285,20.6,39.2,223
2023-12-07 15:57:44.282,20.6,39.2,223
2023-12-07 15:57:43.274,20.5,39.1,225
2023-12-07 15:57:42.271,20.5,39.1,225
2023-12-07 15:57:41.263,20.5,39.2,223
2023-12-07 15:57:40.260,20.5,39.2,223
2023-12-07 15:57:39.252,20.5,39.2,223
2023-12-07 15:57:38.248,20.5,39.2,225
2023-12-07 15:57:37.240,20.6,39.3,222
2023-12-07 15:57:36.237,20.6,39.3,223
2023-12-07 15:57:35.229,20.6,39.3,223
2023-12-07 15:57:34.225,20.6,39.3,223
2023-12-07 15:57:33.217,20.5,39.2,223
2023-12-07 15:57:32.214,20.5,39.2,225
2023-12-07 15:57:31.206,20.5,39.2,223
2023-12-07 15:57:30.207,20.5,39.2,223
2023-12-07 15:57:29.195,20.6,39.3,223
2023-12-07 15:57:28.195,20.6,39.3,225
2023-12-07 15:57:27.184,20.5,39.2,225
2023-12-07 15:57:26.184,20.5,39.2,222
2023-12-07 15:57:25.173,20.6,39.3,223
2023-12-07 15:57:24.173,20.6,39.3,223
2023-12-07 15:57:23.165,20.6,39.3,223
2023-12-07 15:57:22.161,20.6,39.3,223
2023-12-07 15:57:21.154,20.5,39.2,223
2023-12-07 15:57:20.150,20.5,39.2,223
2023-12-07 15:57:19.142,20.5,39.2,223
2023-12-07 15:57:18.139,20.5,39.2,225
2023-12-07 15:57:17.131,20.5,39.2,223
2023-12-07 15:57:16.127,20.5,39.2,222
2023-12-07 15:57:15.119,20.5,39.2,225
2023-12-07 15:57:14.116,20.5,39.2,225
2023-12-07 15:57:13.109,20.5,39.2,223
2023-12-07 15:57:12.105,20.5,39.2,222
2023-12-07 15:57:11.097,20.5,39.2,220
