date,temperature,humidity,luminosity,pressure
2023-12-21 14:53:58.385,17.8,29.5,1624,1017.2
2023-12-21 14:53:56.341,17.8,29.5,1620,1017.2
2023-12-21 14:53:54.298,17.9,29.5,1620,1017.2
2023-12-21 14:53:52.255,17.8,29.6,1619,1017.2
2023-12-21 14:53:50.212,17.8,29.4,1620,1017.2
2023-12-21 14:53:48.169,17.8,29.5,1622,1017.2
2023-12-21 14:53:46.126,17.8,29.5,1619,1017.2
2023-12-21 14:53:44.083,17.8,29.5,1618,1017.3
2023-12-21 14:53:42.040,17.9,29.5,1658,1017.3
2023-12-21 14:53:39.996,17.8,29.5,1703,1017.3
2023-12-21 14:53:37.953,17.8,29.4,1698,1017.3
2023-12-21 14:53:35.910,17.8,29.5,1699,1017.3
2023-12-21 14:53:33.867,17.8,29.5,1705,1017.3
2023-12-21 14:53:31.823,17.8,29.4,1704,1017.3
2023-12-21 14:53:29.780,17.8,29.5,1703,1017.3
2023-12-21 14:53:27.737,17.8,29.3,1701,1017.3
2023-12-21 14:53:25.693,17.8,29.3,1705,1017.3
2023-12-21 14:53:23.651,17.7,29.3,1703,1017.3
2023-12-21 14:53:21.607,17.8,29.3,1699,1017.3
2023-12-21 14:53:19.564,17.7,29.2,1695,1017.3
2023-12-21 14:53:17.521,17.7,29.3,1684,1017.3
2023-12-21 14:53:15.478,17.8,29.3,1682,1017.3
2023-12-21 14:53:13.434,17.8,29.3,1685,1017.3
2023-12-21 14:53:11.391,17.9,29.3,1686,1017.3
2023-12-21 14:53:09.348,17.8,29.3,1686,1017.3
2023-12-21 14:53:07.306,17.8,29.3,1690,1017.3
2023-12-21 14:53:05.262,17.8,29.3,1691,1017.3
2023-12-21 14:53:03.220,17.8,29.3,1687,1017.3
2023-12-21 14:53:01.176,17.8,29.4,1686,1017.3
2023-12-21 14:52:59.133,17.8,29.5,1687,1017.3
2023-12-21 14:52:57.090,17.8,29.5,1691,1017.3
2023-12-21 14:52:55.047,17.8,29.5,1695,1017.3
2023-12-21 14:52:53.004,17.8,29.6,1690,1017.2
2023-12-21 14:52:50.960,17.8,29.6,1689,1017.2
2023-12-21 14:52:48.917,17.8,29.5,1694,1017.3
2023-12-21 14:52:46.872,17.8,29.6,1698,1017.3
2023-12-21 14:52:44.829,17.8,29.7,1704,1017.2
2023-12-21 14:52:42.786,17.8,29.7,1704,1017.2
2023-12-21 14:52:40.742,17.8,29.8,1703,1017.2
2023-12-21 14:52:38.700,17.8,29.8,1701,1017.2
2023-12-21 14:52:36.656,17.8,29.8,1698,1017.2
2023-12-21 14:52:34.613,17.8,29.8,1702,1017.2
2023-12-21 14:52:32.570,17.8,29.9,1702,1017.2
2023-12-21 14:52:30.527,17.8,29.9,1702,1017.2
2023-12-21 14:52:28.483,17.8,29.9,1698,1017.2
2023-12-21 14:52:26.440,17.8,29.9,1696,1017.2
2023-12-21 14:52:24.397,17.8,29.8,1696,1017.2
2023-12-21 14:52:22.354,17.8,29.7,1698,1017.2
2023-12-21 14:52:20.311,17.8,29.7,1702,1017.2
2023-12-21 14:52:18.268,17.8,29.7,1705,1017.2
2023-12-21 14:52:16.225,17.8,29.7,1700,1017.1
2023-12-21 14:52:14.181,17.8,29.9,1698,1017.2
2023-12-21 14:52:12.138,17.8,29.9,1696,1017.2
2023-12-21 14:52:10.094,17.8,29.9,1702,1017.2
2023-12-21 14:52:08.051,17.8,29.9,1705,1017.2
2023-12-21 14:52:06.008,17.8,30.0,1701,1017.2
2023-12-21 14:52:03.965,17.8,30.2,1701,1017.1
2023-12-21 14:52:01.922,17.8,30.2,1698,1017.2
2023-12-21 14:51:59.879,17.8,30.2,1699,1017.2
2023-12-21 14:51:57.837,17.8,30.3,1701,1017.2
2023-12-21 14:51:55.793,17.7,30.4,1705,1017.2
2023-12-21 14:51:53.750,17.7,30.6,1705,1017.2
2023-12-21 14:51:51.707,17.8,30.6,1703,1017.2
2023-12-21 14:51:49.665,17.8,30.5,1699,1017.2
2023-12-21 14:51:47.622,17.8,30.7,1698,1017.2
2023-12-21 14:51:45.579,17.8,30.6,1698,1017.2
2023-12-21 14:51:43.536,17.7,30.7,1700,1017.2
2023-12-21 14:51:41.493,17.8,30.6,1706,1017.2
2023-12-21 14:51:39.450,17.8,30.5,1704,1017.2
2023-12-21 14:51:37.407,17.8,30.6,1702,1017.2
2023-12-21 14:51:35.364,17.8,30.4,1700,1017.2
2023-12-21 14:51:33.321,17.7,30.3,1700,1017.2
2023-12-21 14:51:31.278,17.8,30.3,1700,1017.1
2023-12-21 14:51:29.235,17.8,30.1,1705,1017.2
2023-12-21 14:51:27.192,17.8,30.1,1705,1017.1
2023-12-21 14:51:25.149,17.8,30.0,1703,1017.2
2023-12-21 14:51:23.106,17.8,29.9,1702,1017.2
2023-12-21 14:51:21.064,17.8,29.8,1700,1017.2
2023-12-21 14:51:19.021,17.7,29.7,1700,1017.2
2023-12-21 14:51:16.978,17.8,29.7,1703,1017.2
2023-12-21 14:51:14.935,17.8,29.7,1706,1017.2
2023-12-21 14:51:12.892,17.7,29.8,1706,1017.1
2023-12-21 14:51:10.849,17.7,29.8,1703,1017.2
2023-12-21 14:51:08.806,17.7,29.8,1700,1017.2
2023-12-21 14:51:06.763,17.8,29.8,1699,1017.2
2023-12-21 14:51:04.720,17.8,29.9,1700,1017.2
2023-12-21 14:51:02.677,17.7,30.0,1704,1017.1
2023-12-21 14:51:00.634,17.7,30.1,1705,1017.2
2023-12-21 14:50:58.591,17.7,30.1,1704,1017.1
2023-12-21 14:50:56.548,17.8,30.0,1698,1017.2
2023-12-21 14:50:54.505,17.8,30.0,1697,1017.2
2023-12-21 14:50:52.462,17.8,30.0,1694,1017.2
2023-12-21 14:50:50.419,17.8,30.0,1697,1017.2
2023-12-21 14:50:48.376,17.7,30.0,1699,1017.2
2023-12-21 14:50:46.333,17.8,30.0,1699,1017.2
2023-12-21 14:50:44.290,17.8,30.1,1701,1017.2
2023-12-21 14:50:42.247,17.8,30.1,1698,1017.2
2023-12-21 14:50:40.204,17.8,30.2,1702,1017.2
2023-12-21 14:50:38.161,17.7,30.1,1703,1017.2
2023-12-21 14:50:36.118,17.7,30.3,1703,1017.2
2023-12-21 14:50:34.076,17.8,30.2,1702,1017.2
2023-12-21 14:50:32.032,17.7,30.3,1699,1017.2
2023-12-21 14:50:29.988,17.7,30.2,1698,1017.2
2023-12-21 14:50:27.945,17.7,30.2,1698,1017.2
2023-12-21 14:50:25.901,17.7,30.2,1700,1017.2
2023-12-21 14:50:23.859,17.7,30.1,1704,1017.2
2023-12-21 14:50:21.816,17.8,30.1,1704,1017.2
2023-12-21 14:50:19.773,17.8,30.1,1702,1017.2
2023-12-21 14:50:17.730,17.8,30.1,1701,1017.2
2023-12-21 14:50:15.687,17.7,30.1,1698,1017.2
2023-12-21 14:50:13.644,17.7,30.1,1697,1017.2
2023-12-21 14:50:11.601,17.7,30.3,1700,1017.3
2023-12-21 14:50:09.558,17.8,30.3,1703,1017.2
2023-12-21 14:50:07.515,17.7,30.4,1697,1017.2
2023-12-21 14:50:05.472,17.7,30.5,1699,1017.2
2023-12-21 14:50:03.429,17.7,30.6,1698,1017.2
2023-12-21 14:50:01.386,17.7,30.7,1697,1017.2
2023-12-21 14:49:59.343,17.7,30.9,1699,1017.2
2023-12-21 14:49:57.300,17.7,30.9,1702,1017.2
2023-12-21 14:49:55.257,17.7,31.0,1703,1017.2
2023-12-21 14:49:53.214,17.7,31.1,1699,1017.2
2023-12-21 14:49:51.171,17.7,31.1,1696,1017.2
2023-12-21 14:49:49.128,17.7,31.3,1695,1017.2
2023-12-21 14:49:47.085,17.7,31.3,1695,1017.1
2023-12-21 14:49:45.043,17.7,31.4,1700,1017.2
2023-12-21 14:49:42.999,17.7,31.4,1705,1017.2
2023-12-21 14:49:40.957,17.7,31.5,1701,1017.2
2023-12-21 14:49:38.913,17.7,31.6,1698,1017.2
2023-12-21 14:49:36.870,17.7,31.6,1694,1017.2
2023-12-21 14:49:34.828,17.7,31.6,1700,1017.1
2023-12-21 14:49:32.785,17.7,31.6,1706,1017.2
2023-12-21 14:49:30.742,17.7,31.7,1704,1017.2
2023-12-21 14:49:28.698,17.7,31.5,1698,1017.1
2023-12-21 14:49:26.655,17.7,31.4,1701,1017.1
2023-12-21 14:49:24.612,17.7,31.4,1706,1017.2
2023-12-21 14:49:22.569,17.7,31.3,1704,1017.3
2023-12-21 14:49:20.526,17.7,31.2,1701,1017.2
2023-12-21 14:49:18.483,17.7,31.2,1701,1017.2
2023-12-21 14:49:16.440,17.7,31.2,1706,1017.2
2023-12-21 14:49:14.397,17.7,30.9,1703,1017.2
2023-12-21 14:49:12.354,17.7,31.1,1699,1017.2
2023-12-21 14:49:10.310,17.7,30.9,1703,1017.2
2023-12-21 14:49:08.267,17.7,30.8,1704,1017.2
2023-12-21 14:49:06.224,17.7,30.8,1701,1017.2
2023-12-21 14:49:04.181,17.7,30.8,1699,1017.2
2023-12-21 14:49:02.139,17.7,30.9,1703,1017.2
2023-12-21 14:49:00.095,17.7,31.0,1702,1017.2
2023-12-21 14:48:58.052,17.7,30.9,1700,1017.2
2023-12-21 14:48:56.008,17.7,30.9,1698,1017.3
2023-12-21 14:48:53.966,17.7,30.9,1702,1017.2
2023-12-21 14:48:51.922,17.7,30.7,1703,1017.2
2023-12-21 14:48:49.880,17.7,30.5,1702,1017.2
2023-12-21 14:48:47.836,17.7,30.5,1700,1017.2
2023-12-21 14:48:45.794,17.7,30.5,1701,1017.3
2023-12-21 14:48:43.751,17.7,30.6,1704,1017.2
2023-12-21 14:48:41.707,17.7,30.5,1703,1017.2
2023-12-21 14:48:39.664,17.7,30.6,1705,1017.3
2023-12-21 14:48:37.621,17.7,30.6,1706,1017.3
2023-12-21 14:48:35.578,17.7,30.6,1705,1017.2
2023-12-21 14:48:33.535,17.7,30.6,1703,1017.2
2023-12-21 14:48:31.492,17.7,30.7,1702,1017.2
2023-12-21 14:48:29.448,17.7,30.8,1698,1017.2
2023-12-21 14:48:27.405,17.7,30.6,1705,1017.2
2023-12-21 14:48:25.362,17.7,30.7,1702,1017.2
2023-12-21 14:48:23.319,17.7,30.6,1700,1017.2
2023-12-21 14:48:21.276,17.7,30.5,1698,1017.3
2023-12-21 14:48:19.233,17.7,30.5,1700,1017.2
2023-12-21 14:48:17.190,17.7,30.5,1732,1017.2
2023-12-21 14:48:15.147,17.7,30.6,1729,1017.2
2023-12-21 14:48:13.104,17.7,30.7,1727,1017.3
2023-12-21 14:48:11.061,17.7,30.7,1725,1017.3
2023-12-21 14:48:09.018,17.7,30.6,1729,1017.2
2023-12-21 14:48:06.975,17.6,30.8,1730,1017.3
2023-12-21 14:48:04.932,17.7,30.9,1724,1017.2
2023-12-21 14:48:02.889,17.7,31.1,1726,1017.3
2023-12-21 14:48:00.846,17.7,31.1,1725,1017.3
2023-12-21 14:47:58.804,17.7,31.2,1727,1017.3
2023-12-21 14:47:56.760,17.7,31.1,1730,1017.3
2023-12-21 14:47:54.717,17.6,31.2,1731,1017.3
2023-12-21 14:47:52.674,17.7,31.2,1729,1017.3
2023-12-21 14:47:50.632,17.6,31.3,1727,1017.2
2023-12-21 14:47:48.588,17.7,31.3,1724,1017.3
2023-12-21 14:47:46.546,17.6,31.4,1724,1017.3
2023-12-21 14:47:44.502,17.7,31.4,1723,1017.2
2023-12-21 14:47:42.459,17.6,31.5,1729,1017.2
2023-12-21 14:47:40.417,17.6,31.5,1730,1017.3
2023-12-21 14:47:38.374,17.7,31.5,1728,1017.3
2023-12-21 14:47:36.331,17.6,31.4,1727,1017.3
2023-12-21 14:47:34.288,17.6,31.5,1726,1017.3
2023-12-21 14:47:32.244,17.7,31.6,1727,1017.2
2023-12-21 14:47:30.201,17.6,31.5,1727,1017.3
2023-12-21 14:47:28.158,17.6,31.6,1728,1017.2
2023-12-21 14:47:26.115,17.6,31.7,1727,1017.2
2023-12-21 14:47:24.071,17.7,31.6,1724,1017.3
2023-12-21 14:47:22.028,17.6,31.3,1729,1017.3
2023-12-21 14:47:19.985,17.7,31.3,1733,1017.3
2023-12-21 14:47:17.942,17.6,31.2,1732,1017.2
2023-12-21 14:47:15.899,17.6,31.2,1730,1017.2
2023-12-21 14:47:13.856,17.6,31.3,1728,1017.3
2023-12-21 14:47:11.812,17.7,31.5,1726,1017.3
2023-12-21 14:47:09.769,17.7,31.5,1730,1017.3
2023-12-21 14:47:07.726,17.6,31.7,1734,1017.2
2023-12-21 14:47:05.682,17.7,31.7,1732,1017.3
2023-12-21 14:47:03.639,17.7,31.8,1730,1017.2
2023-12-21 14:47:01.596,17.7,31.8,1728,1017.3
2023-12-21 14:46:59.553,17.7,31.8,1726,1017.2
2023-12-21 14:46:57.510,17.7,31.6,1729,1017.3
2023-12-21 14:46:55.467,17.7,31.4,1733,1017.3
2023-12-21 14:46:53.425,17.6,31.1,1733,1017.2
2023-12-21 14:46:51.381,17.7,31.1,1728,1017.3
2023-12-21 14:46:49.337,17.7,30.9,1728,1017.2
2023-12-21 14:46:47.295,17.7,30.8,1727,1017.2
2023-12-21 14:46:45.252,17.7,30.5,1726,1017.2
2023-12-21 14:46:43.209,17.7,30.6,1724,1017.2
2023-12-21 14:46:41.165,17.7,30.5,1726,1017.2
2023-12-21 14:46:39.123,17.7,30.5,1729,1017.3
2023-12-21 14:46:37.080,17.7,30.5,1732,1017.3
2023-12-21 14:46:35.036,17.7,30.3,1730,1017.2
2023-12-21 14:46:32.993,17.7,30.4,1729,1017.2
2023-12-21 14:46:30.950,17.7,30.4,1730,1017.2
2023-12-21 14:46:28.907,17.7,30.3,1727,1017.3
2023-12-21 14:46:26.864,17.7,30.4,1728,1017.3
2023-12-21 14:46:24.821,17.7,30.3,1726,1017.3
2023-12-21 14:46:22.778,17.7,30.1,1726,1017.3
